"Pop","n","Hobs","Hexp","Ar"
"Airplane",21,0.303806390977444,0.34330185288566,1.7233412806262
"Bachelor",8,0.372916666666667,0.3651953125,1.77875095015963
"BarkFox",14,0.261981074481074,0.281860914086761,1.56747685316115
"Bob",13,0.35042735042735,0.317101093944043,1.70874451144342
"Cache",7,0.42202380952381,0.39234126984127,1.85376428028232
"Doe",6,0.329166666666667,0.274670138888889,1.59266497652973
"Egg",17,0.313591800356506,0.295121520330706,1.64842451380974
"Elenas",19,0.509639985380117,0.444862834063793,1.90159870316075
"Fawn",17,0.306919642857143,0.307084581304948,1.67312187267896
"Frog",9,0.407986111111111,0.365943867709121,1.74822534275172
"GentainL",20,0.529641812865497,0.452899989526692,2.01447110677095
"GentainP",18,0.48595513963161,0.441316184502393,1.9604092554629
"Golden",6,0.316666666666667,0.300277777777778,1.62675815793665
"Greggs",20,0.349264705882353,0.321766327854671,1.66345935358748
"InOut",10,0.358928571428571,0.328099489795918,1.71966300453143
"Meadow",20,0.424588815789474,0.424872171872863,1.92395080266445
"Moose",18,0.376053735888295,0.316591702007575,1.64282449014438
"MtWilson",15,0.291666666666667,0.268703231292517,1.54366422479435
"Nopez",5,0.3375,0.355,1.77330515202032
"ParagonL",19,0.188030171582803,0.220053612522798,1.42640099132347
"ParagonW",5,0.0875,0.069375,1.14426691729323
"Pothole",13,0.266504329004329,0.23281370054909,1.47787007437913
"Ramshorn",18,0.2125,0.190586419753086,1.36665862353526
"ShipIsland",17,0.375525210084034,0.391898303439023,1.77774939864306
"Skyhigh",23,0.363254197493328,0.355216663915015,1.73390422309406
"Stockingcap",6,0.491666666666667,0.448611111111111,2.03272901213741
"Terrace",10,0.340277777777778,0.315331790123457,1.67448149544158
"TwinCove",7,0.377083333333333,0.343679492630385,1.77099549750664
"Walkabout",17,0.171810940285205,0.207457817704262,1.41032826086087
"Welcome",15,0.369951923076923,0.377187782503287,1.82256924684891
