SiteID,Elev,Length,Area,Perim,Depth,pH,Dforest,Drock,Dshrub,SiteName,X,Y
1,2473.718506,101,6856.1,335.7,5.7,7.2,0,0.9,0.1,Walkabout,688020,4993875
2,2609.067627,350,36915,916.7,12.7,6.7,0.131,0.036,0,ParagonLake,687427,4994716
3,2622.113281,0,1000,120,0.25,6.1,0.2,0,0,ParagonWetland,687170,4994770
4,2474.737061,336,38912.8,921.7,16.97,7,0.374,0.396,0.043,RamshornLake,687914,4994972
5,2589.80542,107,6089.4,300.5,3.89,7.1,0.647,0.176,0,Mt.WilsonLake,687645,4995325
6,2463.088379,68,3444.6,220,2,7,0.359,0.017,0,MooseLake,688549,4995538
7,2572.034424,110,6556.2,305,4.7,7.1,0,0.704,0.049,GreggsLake,688083,4996003
8,2463.005859,170,13034.9,463.2,6.03,7.6,0.254,0,0,DoeLake,688968,4996458
9,2462.88501,91,3865.9,237.7,1.98,6.7,0.859,0,0,FawnLake,688911,4996632
10,2475.829102,75,2268.8,192,1.86,6.5,0.508,0,0,CacheLake,688777,4997264
11,2522.796875,100,4544.5,291.9,3.3,6.8,0.581,0.163,0,EggWhiteLake,688568,4997936
12,2486.450928,65,2094,170.7,3.07,6.9,0,0,0,FrogPondLake,688873,4998211
13,2605.843994,160,13043.3,438.2,8,6.8,0,0.953,0.047,InandOutLake,688287,4998472
14,2632.590088,272,39087.1,763.5,24.3,7,0.932,0.068,0,SkyhighLake,688146,4998815
15,2591.78125,0,225,60,0.4,6.1,0,0,0.2,BachelorMeadow,688500,4998900
16,2649.125488,143,4600,321.4,2,7,0.55,0,0.05,BobLake,690127,4999150
18,2543.10791,366,17159.4,915.1,3.08,7.5,0.337,0,0,Welcome,689493,4999844
19,2545.275391,160,12000,435,5,6.5,0.4,0.25,0.05,BarkingFoxLake,687944,5000006
20,2580.240967,178,16601.3,520.2,6,0,0.388,0.463,0,Terrace1Lake,687921,5000641
21,2560.402588,209,12002.9,511.3,5,6.2,0,0.356,0,NopezLake,686915,5002250
23,2444.477295,235,12000,460,3,6.9,0.442,0.047,0,MeadowLake,690900,5002500
24,2635.258789,433,26275.8,1045.5,3.57,6.9,0.613,0.093,0,GentianLake,689800,5002750
25,2634.758545,0,225,60,2,7.1,0,0,0,GentianPonds,689939,5002843
26,2634.967773,130,5814.5,353.3,4.02,6.9,0.264,0.097,0,StockingCapLake,690001,5002946
27,2564.380859,390,62582.2,1142.8,21.64,6.5,0.398,0.051,0,AirplaneLake,688835,5002939
28,2659.437256,104,3525.8,264,2,6.7,0.556,0,0,GoldenLake,690220,5003775
29,2390.0271,1660,353898.1,4312.9,22.86,6.7,0.238,0.213,0,ShipIslandLake,686850,5003800
30,2640.924316,102,5993.5,292.9,3.35,7.3,0,0,0,PotholeLake,690487,5004135
31,2793.725098,0,0,0,0,0,4.845000744,0,0,ElenasLake,688927,5004222
