"Airplane","Bachelor","BarkingFox","Bob","Cache","Egg","Frog","GentianL","ParagonL","Pothole","ShipIsland","Skyhigh"
0,0.482779952508287,0.41330827180822,0.409326044497409,0.497701671975376,0.487316571911845,0.453039994160982,0.355743031218651,0.434794087684169,0.376184398235602,0.208557883882513,0.45517583991747
0.482779952508287,0,0.373873254115571,0.287545567939926,0.256623184503428,0.245571948661746,0.275408024447536,0.36956679305015,0.453333531896773,0.579782209343334,0.442159321430431,0.193572806804815
0.41330827180822,0.373873254115571,0,0.283759048137464,0.397896751849418,0.368939108150801,0.402013132756055,0.406608774964709,0.321440666836702,0.512452035194658,0.447565150038624,0.371217758253703
0.409326044497409,0.287545567939926,0.283759048137464,0,0.25702250036486,0.268696344401627,0.325529894823435,0.44634519247068,0.365551870529558,0.537922458654828,0.444467548331951,0.236171878264371
0.497701671975376,0.256623184503428,0.397896751849418,0.25702250036486,0,0.204303287445855,0.252973602050287,0.41722212979987,0.405143977157752,0.54646827953476,0.486063382118411,0.221305817497734
0.487316571911845,0.245571948661746,0.368939108150801,0.268696344401627,0.204303287445855,0,0.27283895579186,0.407064413276608,0.349286579075719,0.542493626668968,0.477576034883086,0.243831589274828
0.453039994160982,0.275408024447536,0.402013132756055,0.325529894823435,0.252973602050287,0.27283895579186,0,0.409149357302262,0.409497750280069,0.535464259866879,0.418063625588539,0.255543525526078
0.355743031218651,0.36956679305015,0.406608774964709,0.44634519247068,0.41722212979987,0.407064413276608,0.409149357302262,0,0.45263709159996,0.422352748368642,0.327894807039014,0.394818059809743
0.434794087684169,0.453333531896773,0.321440666836702,0.365551870529558,0.405143977157752,0.349286579075719,0.409497750280069,0.45263709159996,0,0.441739004653246,0.459015389042701,0.426212500257567
0.376184398235602,0.579782209343334,0.512452035194658,0.537922458654828,0.54646827953476,0.542493626668968,0.535464259866879,0.422352748368642,0.441739004653246,0,0.439948426428786,0.559896087834236
0.208557883882513,0.442159321430431,0.447565150038624,0.444467548331951,0.486063382118411,0.477576034883086,0.418063625588539,0.327894807039014,0.459015389042701,0.439948426428786,0,0.428849957997591
0.45517583991747,0.193572806804815,0.371217758253703,0.236171878264371,0.221305817497734,0.243831589274828,0.255543525526078,0.394818059809743,0.426212500257567,0.559896087834236,0.428849957997591,0
